

    1: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 18   2  9   3 20   4 21   5 12   6 17   8 23  10 25  11 14  13 22  15 24  16 19 "
 "   0  9   1 10   2 13   3 18   4 23   5 20   6 15   7 16   8 11  12 25  14 21  17 22  19 24 "
 "   0 11   1  8   2 23   3 16   4 25   5 18   6 19   7 24   9 10  12 21  13 14  15 22  17 20 "
 "   0 13   1 24   2 11   3 14   4 17   5 10   6 25   7 12   8 15   9 16  18 23  19 20  21 22 "
 "   0 15   1 20   2 17   3 22   4  7   5 24   6 21   8 19   9 12  10 23  11 16  13 18  14 25 "



    7: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 18   2 13   3 16   4 25   5 10   6 23   8 17   9 12  11 24  14 21  15 22  19 20 "
 "   0  9   1 22   2  7   3 24   4 11   5 20   6 17   8 15  10 21  12 19  13 14  16 25  18 23 "
 "   0 11   1 12   2  9   3 18   4 15   5 22   6 19   7 16   8 21  10 25  13 24  14 23  17 20 "
 "   0 13   1 10   2 11   3 12   4 21   5 14   6 15   7 22   8 23   9 20  16 19  17 24  18 25 "
 "   0 15   1 24   2 19   3 14   4 17   5  8   6 25   7 18   9 16  10 23  11 20  12 21  13 22 "



    8: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  2   3  4   6 11   7  8   9 14  10 19  12 23  13 20  15 16  17 18  21 24  22 25 "
 "   0  7   1 20   2  9   3 18   4 23   5 12   6 19   8 21  10 15  11 16  13 22  14 25  17 24 "
 "   0  9   1 22   2 17   3 10   4 25   5  6   7 16   8 23  11 24  12 15  13 18  14 21  19 20 "
 "   0 11   1 24   2 15   3 20   4 21   5  8   6 17   7 18   9 22  10 13  12 25  14 23  16 19 "
 "   0 13   1  6   2 21   3 22   4 17   5 10   7 14   8 11   9 16  12 19  15 24  18 25  20 23 "
 "   0 15   1 16   2 13   3  6   4 19   5 20   7 12   8 17   9 24  10 25  11 14  18 23  21 22 "

